type,title,version,announce_date,effective_date,status,pdf_file_path,is_latest,is_snapshot
ระเบียบ,ระเบียบสำนักงานการตรวจเงินแผ่นดินว่าด้วยการตรวจสอบการปฏิบัติตามกฎหมาย,1,11/08/2566,29/09/2566,need_attention,ระเบียบสำนักงานการตรวจเงินแผ่นดินว่าด้วยการตรวจสอบการปฏิบัติตามกฎหมาย พ.ศ. ๒๕๖๖,False,False
ระเบียบ,ระเบียบสำนักงานการตรวจเงินแผ่นดินว่าด้วยการตรวจสอบการปฏิบัติตามกฎหมาย,2,06/09/2568,19/09/2568,done,ระเบียบสตง.ว่าด้วยการตรวจสอบการปฏิบัติตามกฎหมาย (ฉบับที่ 2) พ.ศ. 2568,True,False
ระเบียบ,ระเบียบสำนักงานการตรวจเงินแผ่นดิน ว่าด้วยการปฏิบัติหน้าที่ของเจ้าหน้าที่ที่ผู้ว่าการตรวจเงินแผ่นดินมอบหมาย,1,17/06/2562,31/07/2562,done,ระเบียบว่าด้วยการปฏิบัติหน้าที่ของเจ้าหน้าที่ที่ได้รับมอบหมาย พ.ศ.2562,True,False
หลักเกณฑ์,หลักเกณฑ์มาตรฐานเกี่ยวกับการตรวจเงินแผ่นดิน,1,08/03/2562,05/04/2562,done,หลักเกณฑ์มาตรฐานเกี่ยวกับการตรวจเงินแผ่นดิน,True,False
แนวทาง,แนวทางการประเมินความเสี่ยง,1,10/10/1000,10/10/1000,done,(เอกสาร ๑) แนวทางการประเมินความเสี่ยง (ข้อ ๙) (1),True,False
แนวทาง,แนวทางในการบันทึกเรื่องลงทะเบียนคุมเรื่องร้องเรียนและเรื่องที่รับไว้ตรวจสอบ,1,10/10/1000,10/10/1000,done,(เอกสาร ๒) แนวทางเรื่องการลงระบบบริหารงานตรวจสอบ,True,False
แนวทาง,แนวทางการรับเรื่องร้องเรียนหรือบัตรสนเท่ห์ไว้ตรวจสอบ,1,10/10/1000,10/10/1000,done,(เอกสาร ๓) แนวทางการรับเรื่องร้องเรียนหรือบัตรสนเท่ห์ไว้ตรวจสอบ (ข้อ ๑๘ ข้อ ๑๙),True,False
แนวทาง,แนวทางในการส่งเรื่องร้องเรียนให้องค์กรอิสระอื่นดำเนินการตามหน้าที่และอำนาจ,1,10/10/1000,10/10/1000,done,(เอกสาร ๔) แนวทางส่งเรื่องร้องเรียนให้องค์กรอิสระอื่น (ข้อ ๒๑),True,False
แนวทาง,แนวทางการแจ้งการเข้ารวบรวมข้อเท็จจริงเบื้องต้น,1,10/10/1000,10/10/1000,done,(เอกสาร ๕) แนวทางการแจ้งการเข้ารวบรวมข้อเท็จจริงเบื้องต้น (ข้อ ๒๑ (๓)),True,False
แนวทาง,แนวทางในการมอบหมายเรื่องการตรวจสอบการปฏิบัติตามกฎหมาย,1,10/10/1000,10/10/1000,done,(เอกสาร ๖) แนวทางในการมอบหมายเรื่องตรวจสอบการปฏิบัติตามกฎหมาย (ข้อ ๒๔),True,False
